,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
668,Male,Loyal Customer,29,Business travel,Eco Plus,1066,4,1,1,1,4,4,4,4,4,5,3,4,4,4,129,119.0,neutral or dissatisfied
669,Female,Loyal Customer,55,Business travel,Business,1827,3,3,3,3,3,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
670,Female,Loyal Customer,42,Personal Travel,Business,1216,4,1,4,3,4,2,3,1,1,4,2,3,1,4,0,2.0,neutral or dissatisfied
671,Female,disloyal Customer,27,Business travel,Eco,191,2,1,3,3,4,3,4,4,1,5,4,3,4,4,24,18.0,neutral or dissatisfied
672,Male,Loyal Customer,45,Business travel,Business,2920,1,1,4,1,4,5,4,4,4,4,4,4,4,4,9,1.0,satisfied
673,Male,Loyal Customer,24,Business travel,Eco,368,0,3,0,1,4,0,4,4,4,1,5,3,5,4,5,5.0,satisfied
674,Male,Loyal Customer,41,Business travel,Business,1981,1,3,3,3,5,4,4,1,1,1,1,4,1,1,10,6.0,neutral or dissatisfied
675,Female,Loyal Customer,41,Business travel,Business,802,3,4,3,3,2,4,5,5,5,4,5,4,5,4,0,0.0,satisfied
676,Male,Loyal Customer,38,Personal Travel,Eco,307,1,4,1,1,4,1,4,4,4,2,4,5,5,4,0,6.0,neutral or dissatisfied
677,Male,Loyal Customer,67,Business travel,Business,1618,3,1,1,1,3,2,2,3,3,3,3,3,3,2,0,7.0,neutral or dissatisfied
678,Male,Loyal Customer,37,Business travel,Business,2061,4,4,4,4,2,2,1,4,4,4,4,1,4,3,0,0.0,satisfied
679,Male,Loyal Customer,49,Business travel,Business,2635,5,5,5,5,3,4,4,4,4,4,4,5,4,5,0,0.0,satisfied
680,Male,Loyal Customer,50,Business travel,Eco Plus,89,5,3,3,3,5,5,5,5,3,5,1,2,3,5,0,11.0,satisfied
681,Male,Loyal Customer,51,Business travel,Business,587,5,5,5,5,2,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
682,Male,Loyal Customer,51,Business travel,Business,1897,1,1,1,1,5,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
683,Male,disloyal Customer,22,Business travel,Eco,632,2,1,2,3,4,2,4,4,3,4,3,4,3,4,0,0.0,neutral or dissatisfied
684,Male,Loyal Customer,34,Personal Travel,Eco,1463,4,5,4,3,3,4,5,3,4,4,5,5,5,3,0,0.0,neutral or dissatisfied
685,Male,Loyal Customer,68,Personal Travel,Eco,569,2,4,2,3,3,2,3,3,5,5,5,3,4,3,33,28.0,neutral or dissatisfied
686,Male,Loyal Customer,57,Business travel,Eco,763,5,3,3,3,5,5,5,5,2,4,2,5,3,5,0,34.0,satisfied
687,Male,Loyal Customer,52,Business travel,Business,454,3,3,3,3,3,5,4,4,4,4,4,4,4,1,0,1.0,satisfied
688,Male,Loyal Customer,40,Business travel,Business,631,1,0,0,4,4,3,3,3,3,0,5,1,3,1,16,16.0,neutral or dissatisfied
689,Female,Loyal Customer,64,Personal Travel,Eco,455,2,5,2,4,3,4,5,4,4,2,4,4,4,5,0,0.0,neutral or dissatisfied
690,Female,Loyal Customer,65,Personal Travel,Eco,1121,2,5,2,4,5,4,4,4,4,2,1,3,4,3,6,4.0,neutral or dissatisfied
691,Male,Loyal Customer,50,Personal Travel,Eco Plus,721,2,3,2,3,5,2,5,5,2,5,3,4,3,5,26,16.0,neutral or dissatisfied
692,Female,disloyal Customer,20,Business travel,Business,239,4,0,5,5,1,5,1,1,4,4,4,5,5,1,0,1.0,satisfied
693,Female,disloyal Customer,28,Business travel,Eco,874,2,2,2,3,2,2,2,2,4,5,3,4,2,2,0,0.0,neutral or dissatisfied
694,Male,Loyal Customer,15,Personal Travel,Eco,447,1,5,1,5,2,1,3,2,5,2,4,5,4,2,0,0.0,neutral or dissatisfied
695,Male,disloyal Customer,21,Business travel,Business,550,5,4,5,4,4,5,4,4,5,4,4,5,5,4,25,18.0,satisfied
696,Female,Loyal Customer,26,Business travel,Business,1947,4,4,4,4,5,5,5,5,4,4,4,5,5,5,493,485.0,satisfied
697,Female,Loyal Customer,17,Personal Travel,Eco,2402,5,4,5,4,1,5,1,1,1,5,3,1,4,1,0,0.0,satisfied
698,Female,Loyal Customer,64,Personal Travel,Eco,399,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0.0,satisfied
699,Female,Loyal Customer,44,Business travel,Eco,446,3,4,4,4,5,2,2,3,3,3,3,3,3,1,1,0.0,neutral or dissatisfied
700,Female,Loyal Customer,47,Business travel,Business,829,1,1,1,1,3,5,5,5,5,5,5,4,5,4,28,27.0,satisfied
701,Male,Loyal Customer,53,Business travel,Business,2935,5,5,5,5,3,4,5,5,5,5,5,3,5,3,3,2.0,satisfied
702,Male,Loyal Customer,58,Personal Travel,Eco,760,2,2,3,1,1,3,1,1,2,4,2,4,2,1,72,60.0,neutral or dissatisfied
703,Male,Loyal Customer,48,Business travel,Business,1975,3,2,2,2,5,3,2,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
704,Female,Loyal Customer,44,Business travel,Business,3529,4,4,4,4,1,4,4,4,4,4,4,1,4,5,0,0.0,satisfied
705,Male,Loyal Customer,60,Business travel,Business,1440,5,5,3,5,4,4,5,4,4,4,4,4,4,3,26,31.0,satisfied
706,Male,Loyal Customer,51,Business travel,Business,3490,3,3,3,3,2,4,4,5,5,5,5,4,5,4,0,0.0,satisfied
707,Male,Loyal Customer,49,Business travel,Business,756,3,3,3,3,3,4,4,4,4,4,4,3,4,5,9,0.0,satisfied
708,Female,disloyal Customer,14,Business travel,Eco,1149,3,3,3,3,2,3,3,2,2,1,3,1,4,2,6,57.0,neutral or dissatisfied
709,Female,Loyal Customer,19,Personal Travel,Eco,236,2,1,0,4,4,0,4,4,4,3,3,3,3,4,0,0.0,neutral or dissatisfied
710,Female,disloyal Customer,24,Business travel,Eco,1249,2,2,2,1,2,2,2,2,5,5,2,4,2,2,0,0.0,neutral or dissatisfied
711,Female,Loyal Customer,50,Personal Travel,Eco,1166,4,1,5,2,2,2,3,4,4,5,4,2,4,1,5,0.0,neutral or dissatisfied
712,Male,disloyal Customer,39,Business travel,Eco,189,1,3,1,3,3,1,3,3,2,5,3,3,4,3,1,2.0,neutral or dissatisfied
713,Male,Loyal Customer,21,Personal Travel,Eco,650,0,4,0,4,2,0,2,2,4,2,4,2,4,2,0,0.0,satisfied
714,Female,disloyal Customer,30,Business travel,Eco Plus,765,1,1,1,3,2,1,2,2,2,2,1,3,3,2,0,0.0,neutral or dissatisfied
715,Male,Loyal Customer,7,Personal Travel,Eco Plus,1105,4,4,4,1,2,4,2,2,4,2,4,2,2,2,6,0.0,neutral or dissatisfied
716,Male,Loyal Customer,40,Business travel,Eco,592,1,2,2,2,1,1,1,1,4,1,4,4,4,1,0,0.0,neutral or dissatisfied
717,Male,Loyal Customer,50,Business travel,Business,609,1,4,4,4,1,3,4,1,1,1,1,4,1,4,14,27.0,neutral or dissatisfied
718,Female,Loyal Customer,28,Business travel,Business,223,3,3,3,3,4,4,5,4,1,4,3,2,2,4,0,2.0,satisfied
719,Male,Loyal Customer,49,Business travel,Business,3283,5,5,5,5,5,3,5,5,5,5,5,5,5,4,0,0.0,satisfied
720,Male,Loyal Customer,58,Business travel,Business,372,2,2,2,2,2,4,4,4,4,5,4,4,4,5,13,10.0,satisfied
721,Male,disloyal Customer,23,Business travel,Business,1059,0,4,0,3,3,0,3,3,4,2,3,5,4,3,5,0.0,satisfied
722,Male,Loyal Customer,48,Business travel,Business,2923,5,5,5,5,5,5,4,4,4,4,4,5,4,4,6,0.0,satisfied
723,Female,Loyal Customer,23,Personal Travel,Eco,589,1,5,1,5,2,1,2,2,5,5,5,4,4,2,6,0.0,neutral or dissatisfied
724,Male,Loyal Customer,56,Business travel,Business,859,3,3,3,3,2,4,4,5,5,5,5,3,5,4,0,5.0,satisfied
725,Female,Loyal Customer,33,Business travel,Eco Plus,802,4,3,3,3,4,4,4,4,4,3,3,2,4,4,3,7.0,neutral or dissatisfied
726,Male,Loyal Customer,39,Business travel,Business,371,3,5,5,5,2,3,3,3,3,3,3,2,3,1,7,7.0,neutral or dissatisfied
727,Female,disloyal Customer,25,Business travel,Business,997,4,5,4,3,4,4,3,4,4,3,4,4,4,4,41,30.0,satisfied
728,Female,Loyal Customer,42,Business travel,Business,134,4,4,4,4,3,4,4,4,4,4,5,4,4,5,0,0.0,satisfied
729,Female,Loyal Customer,56,Personal Travel,Eco,391,1,3,1,4,1,4,3,4,4,1,4,3,4,1,72,62.0,neutral or dissatisfied
730,Female,disloyal Customer,20,Business travel,Eco,748,5,5,5,4,5,5,5,5,5,4,4,3,4,5,0,0.0,satisfied
731,Male,Loyal Customer,29,Business travel,Business,3484,1,1,1,1,5,5,5,5,5,2,5,3,4,5,0,0.0,satisfied
732,Female,Loyal Customer,17,Business travel,Business,821,1,4,4,4,1,1,1,1,3,1,3,4,3,1,0,0.0,neutral or dissatisfied
733,Female,Loyal Customer,40,Business travel,Business,480,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
734,Female,disloyal Customer,18,Business travel,Eco,1009,2,2,2,4,4,2,4,4,5,2,5,4,4,4,0,0.0,neutral or dissatisfied
735,Female,Loyal Customer,23,Personal Travel,Eco Plus,328,3,1,3,2,3,3,3,3,2,1,2,2,3,3,32,28.0,neutral or dissatisfied
736,Female,Loyal Customer,29,Personal Travel,Eco,101,4,1,4,2,3,4,3,3,1,4,2,4,3,3,0,0.0,neutral or dissatisfied
737,Female,disloyal Customer,19,Business travel,Eco Plus,1008,5,0,5,4,1,5,1,1,1,3,2,2,2,1,0,0.0,satisfied
738,Female,Loyal Customer,44,Business travel,Eco Plus,296,3,2,2,2,5,4,3,2,2,3,2,2,2,2,11,11.0,neutral or dissatisfied
739,Female,Loyal Customer,18,Business travel,Business,1624,5,5,5,5,4,4,4,4,3,5,4,3,4,4,0,0.0,satisfied
740,Female,Loyal Customer,49,Business travel,Business,3616,5,5,2,5,2,4,4,4,4,4,4,4,4,4,0,0.0,satisfied
741,Male,Loyal Customer,33,Personal Travel,Eco,1105,3,4,3,4,4,3,5,4,4,2,4,4,5,4,0,11.0,neutral or dissatisfied
742,Female,Loyal Customer,55,Business travel,Eco,484,4,1,1,1,2,3,3,4,4,4,4,3,4,3,4,0.0,satisfied
743,Female,Loyal Customer,27,Personal Travel,Eco,1558,2,4,1,2,1,1,1,1,4,3,5,5,4,1,1,0.0,neutral or dissatisfied
744,Female,Loyal Customer,42,Business travel,Business,3632,1,1,3,1,2,5,4,5,5,5,5,5,5,2,0,0.0,satisfied
745,Male,Loyal Customer,18,Business travel,Eco Plus,280,3,4,4,4,3,3,3,3,4,5,4,1,4,3,0,0.0,neutral or dissatisfied
746,Female,disloyal Customer,20,Business travel,Eco,451,5,4,5,4,4,5,3,4,4,5,2,2,4,4,0,0.0,satisfied
747,Female,Loyal Customer,80,Business travel,Business,2422,2,2,5,2,4,4,3,4,4,4,4,4,4,4,0,0.0,satisfied
748,Female,Loyal Customer,62,Business travel,Eco,1076,3,5,5,5,3,3,3,2,1,2,2,3,4,3,332,336.0,neutral or dissatisfied
749,Male,Loyal Customer,59,Business travel,Business,2980,5,5,5,5,3,5,5,4,4,4,4,4,4,3,0,29.0,satisfied
750,Male,Loyal Customer,47,Business travel,Business,1107,3,3,3,3,5,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
751,Male,disloyal Customer,27,Business travel,Eco,925,3,3,3,3,5,3,5,5,4,5,3,1,4,5,11,11.0,neutral or dissatisfied
752,Male,Loyal Customer,55,Business travel,Business,1624,4,4,4,4,4,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
753,Male,Loyal Customer,54,Business travel,Business,3995,3,1,1,1,2,3,3,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
754,Female,Loyal Customer,52,Business travel,Business,562,3,3,3,3,5,5,4,5,5,4,5,3,5,3,26,21.0,satisfied
755,Female,disloyal Customer,27,Business travel,Eco Plus,491,3,3,3,4,1,3,1,1,4,5,3,3,4,1,15,11.0,neutral or dissatisfied
756,Male,disloyal Customer,50,Business travel,Eco,534,2,3,2,4,5,2,5,5,1,5,4,1,3,5,0,0.0,neutral or dissatisfied
757,Male,Loyal Customer,58,Business travel,Business,3783,5,5,3,5,4,5,4,3,3,3,3,4,3,5,0,13.0,satisfied
758,Female,Loyal Customer,25,Business travel,Business,2454,1,1,5,1,5,5,5,5,4,3,3,5,5,5,0,0.0,satisfied
759,Male,Loyal Customer,70,Personal Travel,Eco,373,3,4,3,3,1,3,1,1,1,4,4,2,4,1,0,0.0,neutral or dissatisfied
760,Male,Loyal Customer,9,Personal Travel,Eco,213,1,5,1,1,5,1,5,5,4,5,5,3,4,5,0,0.0,neutral or dissatisfied
761,Female,Loyal Customer,62,Personal Travel,Eco,817,5,1,5,4,4,3,4,2,2,5,2,2,2,3,0,0.0,satisfied
762,Male,disloyal Customer,72,Business travel,Eco,319,3,2,3,3,4,3,4,4,4,3,3,3,3,4,14,4.0,neutral or dissatisfied
763,Male,Loyal Customer,13,Personal Travel,Eco,301,1,4,1,3,4,1,4,4,1,1,4,2,3,4,0,0.0,neutral or dissatisfied
764,Female,Loyal Customer,23,Business travel,Business,813,1,1,4,1,5,5,5,5,3,3,4,4,4,5,0,0.0,satisfied
765,Male,Loyal Customer,29,Personal Travel,Eco,370,3,5,4,2,1,4,1,1,4,2,5,3,3,1,9,0.0,neutral or dissatisfied
766,Female,Loyal Customer,46,Business travel,Eco,368,2,5,5,5,3,4,4,2,2,2,2,3,2,4,2,7.0,neutral or dissatisfied
767,Male,Loyal Customer,40,Business travel,Eco,610,4,4,5,4,4,4,4,4,2,2,4,3,1,4,27,47.0,satisfied
768,Male,Loyal Customer,23,Business travel,Business,3801,3,3,3,3,5,5,5,5,4,5,5,5,5,5,0,0.0,satisfied
769,Male,Loyal Customer,45,Business travel,Eco,617,4,2,2,2,4,4,4,4,5,1,4,3,2,4,0,0.0,satisfied
770,Male,Loyal Customer,54,Business travel,Eco Plus,813,1,1,5,1,1,1,1,1,1,1,3,2,4,1,7,4.0,neutral or dissatisfied
771,Female,Loyal Customer,54,Business travel,Business,468,1,1,1,1,2,1,1,3,3,5,3,2,3,5,1,12.0,satisfied
772,Male,Loyal Customer,35,Personal Travel,Eco,369,5,4,5,2,5,5,4,5,3,1,5,3,5,5,0,0.0,satisfied
773,Male,Loyal Customer,60,Business travel,Eco Plus,351,5,4,4,4,5,5,5,5,3,5,5,1,4,5,0,0.0,satisfied
774,Female,disloyal Customer,62,Business travel,Eco,313,2,0,2,3,3,2,3,3,5,4,2,2,2,3,0,21.0,neutral or dissatisfied
775,Female,Loyal Customer,59,Personal Travel,Eco,214,4,1,0,4,3,4,4,1,1,0,1,2,1,1,0,0.0,neutral or dissatisfied
776,Male,Loyal Customer,54,Personal Travel,Eco,304,3,4,3,1,3,3,3,3,4,2,5,4,5,3,13,6.0,neutral or dissatisfied
777,Male,Loyal Customer,28,Personal Travel,Eco,594,1,4,1,4,4,1,3,4,3,1,2,1,4,4,36,52.0,neutral or dissatisfied
778,Female,Loyal Customer,56,Business travel,Business,393,3,1,1,1,5,4,3,3,3,3,3,1,3,3,14,17.0,neutral or dissatisfied
779,Male,Loyal Customer,21,Business travel,Business,1670,3,2,2,2,3,3,3,3,1,1,3,2,4,3,125,128.0,neutral or dissatisfied
780,Female,Loyal Customer,44,Business travel,Eco,833,5,4,4,4,2,1,2,5,5,5,5,5,5,5,0,0.0,satisfied
781,Female,Loyal Customer,27,Personal Travel,Eco,118,2,4,2,1,5,2,3,5,1,4,1,4,3,5,0,0.0,neutral or dissatisfied
782,Male,Loyal Customer,37,Business travel,Eco,316,2,5,2,5,2,2,2,2,3,4,2,2,2,2,55,48.0,neutral or dissatisfied
783,Male,Loyal Customer,34,Personal Travel,Eco,223,2,5,2,3,3,2,3,3,4,2,4,4,4,3,32,46.0,neutral or dissatisfied
784,Female,disloyal Customer,19,Business travel,Eco,740,3,3,3,3,3,3,3,3,5,3,1,4,5,3,0,0.0,neutral or dissatisfied
785,Female,Loyal Customer,65,Personal Travel,Business,100,2,3,2,1,2,5,1,2,2,2,4,2,2,4,0,0.0,neutral or dissatisfied
786,Female,Loyal Customer,60,Business travel,Business,3207,3,3,3,3,2,5,4,5,5,5,5,4,5,5,102,97.0,satisfied
787,Female,Loyal Customer,54,Business travel,Business,236,2,3,4,3,4,3,3,2,2,2,2,1,2,3,3,0.0,neutral or dissatisfied
788,Female,Loyal Customer,10,Personal Travel,Eco,550,2,4,3,3,4,3,4,4,3,5,4,3,4,4,18,13.0,neutral or dissatisfied
789,Female,Loyal Customer,54,Business travel,Business,491,4,2,2,2,5,3,3,4,4,4,4,3,4,1,13,29.0,neutral or dissatisfied
790,Female,Loyal Customer,17,Business travel,Business,3892,2,2,2,2,2,2,2,2,1,4,3,2,3,2,1,0.0,neutral or dissatisfied
791,Female,Loyal Customer,51,Business travel,Eco,562,5,3,4,4,5,3,2,5,5,5,5,5,5,1,12,11.0,satisfied
792,Female,Loyal Customer,50,Business travel,Business,1009,5,5,5,5,3,5,4,5,5,5,5,3,5,3,0,0.0,satisfied
793,Male,Loyal Customer,58,Business travel,Business,2068,2,2,2,2,3,2,2,2,2,3,2,4,2,4,0,0.0,neutral or dissatisfied
794,Female,Loyal Customer,30,Business travel,Business,3923,3,3,3,3,3,3,3,3,1,4,4,2,3,3,1,0.0,neutral or dissatisfied
795,Male,Loyal Customer,56,Business travel,Business,1547,2,2,2,2,3,4,4,2,2,2,2,4,2,5,34,18.0,satisfied
796,Male,disloyal Customer,30,Business travel,Business,347,3,3,3,3,4,3,4,4,4,1,3,1,3,4,0,0.0,neutral or dissatisfied
797,Female,Loyal Customer,47,Business travel,Eco,199,3,4,4,4,3,3,3,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
798,Male,disloyal Customer,22,Business travel,Eco,212,1,4,1,4,5,1,5,5,4,1,4,4,4,5,9,11.0,neutral or dissatisfied
799,Male,disloyal Customer,48,Business travel,Business,223,1,1,1,1,5,1,5,5,4,2,4,3,4,5,0,5.0,neutral or dissatisfied
800,Female,disloyal Customer,27,Business travel,Eco,539,2,5,2,3,5,2,5,5,2,5,3,1,5,5,0,0.0,neutral or dissatisfied
801,Male,Loyal Customer,60,Personal Travel,Eco,1262,1,4,1,1,5,1,5,5,3,3,4,4,4,5,0,0.0,neutral or dissatisfied
802,Female,Loyal Customer,40,Business travel,Business,3984,2,2,2,2,5,5,4,5,5,5,5,5,5,3,12,4.0,satisfied
803,Male,Loyal Customer,30,Business travel,Eco Plus,1044,4,4,4,4,4,4,4,4,2,3,4,1,3,4,15,12.0,neutral or dissatisfied
804,Male,Loyal Customer,24,Business travel,Business,3090,3,1,1,1,3,3,3,3,1,1,1,5,1,3,10,4.0,neutral or dissatisfied
805,Male,Loyal Customer,66,Personal Travel,Eco,1235,0,5,0,4,4,0,4,4,5,5,3,4,5,4,0,0.0,satisfied
806,Female,Loyal Customer,56,Business travel,Business,383,3,3,3,3,2,2,3,3,3,2,3,3,3,1,0,0.0,neutral or dissatisfied
807,Female,Loyal Customer,70,Personal Travel,Eco,874,1,2,1,3,1,2,3,2,2,1,3,3,2,4,0,12.0,neutral or dissatisfied
808,Male,Loyal Customer,55,Personal Travel,Eco,697,2,5,2,1,2,2,2,2,5,5,5,4,4,2,0,0.0,neutral or dissatisfied
809,Female,Loyal Customer,17,Business travel,Business,312,1,4,4,4,1,1,1,1,4,5,4,4,4,1,29,29.0,neutral or dissatisfied
810,Male,Loyal Customer,46,Business travel,Business,1084,2,1,1,1,3,4,4,2,2,2,2,1,2,4,0,0.0,neutral or dissatisfied
811,Male,Loyal Customer,24,Business travel,Business,861,1,1,1,1,2,2,2,2,4,2,5,4,5,2,0,0.0,satisfied
812,Female,Loyal Customer,59,Personal Travel,Eco,129,2,4,0,1,3,5,5,2,2,0,2,3,2,4,0,3.0,neutral or dissatisfied
813,Male,Loyal Customer,18,Personal Travel,Business,189,3,4,3,2,3,3,3,3,2,5,4,2,1,3,1,2.0,neutral or dissatisfied
814,Female,Loyal Customer,55,Personal Travel,Eco,299,1,5,3,1,3,3,3,4,4,5,5,3,3,3,136,156.0,neutral or dissatisfied
815,Male,Loyal Customer,46,Business travel,Eco,196,5,2,2,2,5,5,5,5,1,5,3,3,4,5,0,0.0,satisfied
816,Male,Loyal Customer,26,Personal Travel,Eco,460,5,5,5,2,5,5,4,5,4,3,5,5,5,5,0,0.0,satisfied
817,Female,disloyal Customer,22,Business travel,Eco,605,0,0,0,1,4,0,4,4,2,3,5,1,3,4,0,0.0,satisfied
818,Male,Loyal Customer,62,Personal Travel,Eco,937,2,5,2,5,5,2,5,5,3,2,5,4,4,5,0,0.0,neutral or dissatisfied
819,Male,Loyal Customer,20,Personal Travel,Eco,1846,4,4,4,4,4,4,4,4,3,1,2,2,3,4,40,46.0,neutral or dissatisfied
820,Male,disloyal Customer,28,Business travel,Business,404,0,1,1,2,4,1,4,4,3,2,4,5,4,4,31,20.0,satisfied
821,Female,Loyal Customer,57,Personal Travel,Eco,1334,1,5,1,4,2,5,4,3,3,1,3,5,3,4,3,0.0,neutral or dissatisfied
822,Female,Loyal Customer,9,Personal Travel,Eco,473,1,5,1,3,1,1,1,1,1,5,5,5,2,1,14,5.0,neutral or dissatisfied
823,Female,Loyal Customer,29,Business travel,Business,2486,2,2,2,2,2,2,2,2,3,1,2,2,3,2,0,14.0,neutral or dissatisfied
824,Male,Loyal Customer,54,Business travel,Business,1797,3,3,3,3,5,4,2,4,4,4,4,2,4,4,60,55.0,satisfied
825,Female,Loyal Customer,48,Business travel,Eco,282,4,4,4,4,1,1,2,4,4,4,4,3,4,4,64,69.0,satisfied
826,Female,disloyal Customer,47,Business travel,Business,472,4,4,4,1,3,4,3,3,5,5,5,3,5,3,11,0.0,satisfied
827,Female,Loyal Customer,40,Business travel,Eco,191,4,5,4,4,4,4,4,4,1,5,3,3,3,4,8,0.0,satisfied
828,Female,disloyal Customer,28,Business travel,Eco,1008,3,2,2,3,1,2,1,1,5,3,3,4,2,1,0,0.0,neutral or dissatisfied
829,Male,Loyal Customer,27,Business travel,Business,1337,5,5,1,5,5,5,5,5,5,5,4,5,4,5,0,0.0,satisfied
830,Male,Loyal Customer,59,Business travel,Business,592,4,4,4,4,2,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
831,Male,Loyal Customer,28,Business travel,Eco,661,3,3,1,3,3,3,3,3,1,3,3,3,3,3,35,59.0,neutral or dissatisfied
832,Female,Loyal Customer,41,Business travel,Business,604,2,2,3,2,4,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
833,Male,Loyal Customer,51,Personal Travel,Eco,1089,4,5,4,4,2,4,2,2,5,4,5,5,1,2,0,32.0,neutral or dissatisfied
834,Male,Loyal Customer,55,Business travel,Business,3660,3,1,1,1,3,3,4,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
835,Male,Loyal Customer,29,Business travel,Business,1623,4,4,4,4,5,5,5,5,4,4,4,4,4,5,0,0.0,satisfied
836,Female,disloyal Customer,35,Business travel,Business,2125,4,4,4,1,2,4,2,2,4,5,5,4,5,2,3,3.0,neutral or dissatisfied
837,Male,Loyal Customer,39,Business travel,Business,1023,2,2,2,2,3,5,4,5,5,5,5,5,5,5,4,0.0,satisfied
838,Female,disloyal Customer,49,Business travel,Business,316,1,1,1,3,4,1,4,4,3,3,4,3,4,4,0,1.0,neutral or dissatisfied
839,Male,Loyal Customer,53,Business travel,Business,3648,2,1,4,4,3,2,2,2,2,2,2,4,2,2,42,25.0,neutral or dissatisfied
840,Male,Loyal Customer,54,Business travel,Business,2436,5,5,5,5,5,5,4,5,5,5,5,3,5,4,0,0.0,satisfied
841,Female,Loyal Customer,44,Personal Travel,Eco,402,0,4,0,4,3,4,5,2,2,0,2,4,2,4,0,0.0,satisfied
842,Male,Loyal Customer,41,Business travel,Business,134,5,5,5,5,2,4,4,3,3,4,5,4,3,4,0,0.0,satisfied
843,Female,Loyal Customer,35,Personal Travel,Eco,689,1,4,1,2,1,1,1,1,4,4,5,3,4,1,0,1.0,neutral or dissatisfied
844,Male,Loyal Customer,49,Business travel,Business,3732,1,1,1,1,3,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
845,Male,Loyal Customer,65,Personal Travel,Eco,2342,1,4,2,1,2,2,2,2,2,5,2,5,4,2,0,1.0,neutral or dissatisfied
846,Female,Loyal Customer,39,Business travel,Business,2065,2,1,1,1,5,4,4,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied
847,Male,Loyal Customer,17,Business travel,Business,2342,3,3,3,3,5,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
848,Male,Loyal Customer,37,Personal Travel,Eco,173,3,4,3,3,3,3,3,3,4,2,3,1,3,3,93,99.0,neutral or dissatisfied
849,Male,Loyal Customer,34,Personal Travel,Eco,368,2,4,2,4,1,2,1,1,2,3,2,5,5,1,0,0.0,neutral or dissatisfied
850,Female,Loyal Customer,49,Business travel,Eco,748,5,1,1,1,2,4,5,4,4,5,4,4,4,5,49,49.0,satisfied
851,Female,Loyal Customer,54,Business travel,Business,1903,3,3,3,3,2,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
852,Female,disloyal Customer,20,Business travel,Eco,1069,1,1,1,3,2,1,2,2,4,2,4,3,3,2,0,0.0,neutral or dissatisfied
853,Female,Loyal Customer,52,Business travel,Business,3894,1,1,1,1,3,1,5,5,5,5,3,1,5,2,0,50.0,satisfied
854,Female,Loyal Customer,44,Personal Travel,Eco,1183,4,5,4,3,2,5,4,5,5,4,2,3,5,5,5,0.0,satisfied
855,Female,disloyal Customer,21,Business travel,Eco,2677,3,3,3,2,3,1,1,1,3,4,3,1,4,1,0,17.0,neutral or dissatisfied
856,Female,Loyal Customer,64,Personal Travel,Eco,214,2,2,2,3,5,3,4,4,4,2,3,1,4,4,81,72.0,neutral or dissatisfied
857,Male,Loyal Customer,49,Personal Travel,Eco,861,1,4,1,4,3,1,3,3,5,3,5,4,4,3,0,44.0,neutral or dissatisfied
858,Male,Loyal Customer,43,Personal Travel,Eco,282,1,2,1,3,1,1,2,1,1,4,4,4,4,1,0,0.0,neutral or dissatisfied
859,Female,Loyal Customer,45,Business travel,Business,423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0.0,neutral or dissatisfied
860,Female,Loyal Customer,57,Business travel,Business,3259,2,5,2,2,4,5,4,4,4,4,5,4,4,4,0,0.0,satisfied
861,Male,Loyal Customer,63,Business travel,Eco,566,5,2,2,2,5,5,5,5,2,4,5,3,1,5,0,0.0,satisfied
862,Male,Loyal Customer,62,Personal Travel,Eco,1013,1,2,1,2,4,1,4,4,4,4,2,1,3,4,0,11.0,neutral or dissatisfied
863,Female,Loyal Customer,61,Business travel,Eco Plus,762,2,5,5,5,1,3,3,2,2,2,2,4,2,4,0,23.0,neutral or dissatisfied
864,Female,disloyal Customer,18,Business travel,Eco Plus,304,1,3,0,4,2,0,2,2,4,5,4,1,3,2,44,58.0,neutral or dissatisfied
865,Female,Loyal Customer,46,Business travel,Business,2961,3,3,3,3,4,4,4,5,3,4,5,4,4,4,416,407.0,satisfied
866,Female,Loyal Customer,43,Business travel,Business,2935,2,2,2,2,5,5,5,4,4,4,4,5,4,3,18,2.0,satisfied
867,Male,Loyal Customer,56,Personal Travel,Eco,1005,2,3,2,3,3,2,3,3,1,4,3,1,3,3,24,35.0,neutral or dissatisfied
